model,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38
casual_orange_chair.obj,0,0.3081813320017516,0.5698874892124732,0.6953797738005515,0.8316752897783615,0.9441782152047393,0.9901099924829514,0.9994778097012624,0.9929349611086985,0.9895714376238189,0.991338110186753,0.998979835996563,0.9989418646328785,0.9989213214549402,0.9988930268220293,0.9988244621558473,0.9963636045726411,0.9653647780975453,0.7236875213498432,1.223576388525211,1.1501295808857481,0.8835175464877321,0.8420494133577797,0.8582769130153736,0.8888097448182019,0.9357374981061307,0.9544037799142251,0.9742285487591421,0.9621600561576357,0.987676692724192,1.012119185745813,1.0546665205587311,1.1317313303531011,1.2255659199892066,1.350114054432503,1.4891146573868854,1.7346179230280518,2.310240561311823
casual_orange_chair.obj,0,0.3542229479676526,0.6464844431703649,0.9772386844081822,0.977673509840812,0.9865561713090748,1.135524437916794,1.726474383405261,2.024358719742636,1.0139827077521293,1.4471354246973664,1.0000000000000007,0.9999999999999997,0.9999999999999996,1.0,1.0000000000000002,1.0,1.0000000000000004,0.007033353668821575,0.6994579053304514,0.974050668641783,0.9957014793311338,1.0517313171725542,3.55124696037452,1.335692313182553,0.9994307548278122,0.9993862058099263,0.99934174098301,0.9992973661619737,0.9992530871217228,0.9992089095947162,0.9991648392685503,0.9991208817836053,0.9990770427307148,0.9990802087802205,1.0124344136086965,1.0261490157728803,1.0381976939389266
casual_orange_chair.obj,0,0.4145899609481974,0.47643237328903687,0.8344200106793668,0.9781062196365359,0.9768743109081197,0.9790492837986345,0.9915567197622714,0.9948513746067775,0.996359208487764,0.9978407597332766,0.9991532432648936,0.9996026656329561,0.9996424451859915,0.9996325438196211,0.998924950011191,0.997788769362174,0.9131444659953515,0.9906005070269448,1.0599211209242876,1.0472763288342497,1.004687128100157,1.0001936667304159,1.0001557305489506,1.000205707517221,1.0001947902174975,1.0002055966590588,1.000206815064752,1.0002088893426868,1.0005049532758317,1.0017666720589251,1.003410246820552,1.005063099540373,1.0101822643599228,1.0388841022323532,1.1357046060486773,1.3138859902332602,1.8389940160242235
circle_lowtable.obj,0.0,0.7792078456873938,0.8204547047446984,0.8553623416184968,0.9215337245938977,0.9272427175559517,0.9321773120213304,0.9364850655991828,0.9674446599906342,0.9696114353659258,0.9705076650915028,0.9713525454163592,0.9721503665264634,0.9825632515658677,0.9915590962010329,0.9916297486871379,0.9916992282329192,0.9917675638068457,0.9918347834312509,1.0000000000000004,1.0082324361931543,1.0083007717670807,1.008370251312862,1.0084409037989672,0.9926407962530527,1.0242965453592559,1.038382426562623,1.0294711412463535,1.030366063801751,1.0025193123129983,1.0631988887304866,1.067867239525151,1.0728085551789621,1.0785259134838268,1.085217712177574,1.1691182939532971,1.2429282264394392,1.3208787263285902
circle_lowtable.obj,0.3335537217310249,1.0000614395504372,0.9999206705846864,1.0000498100765125,0.9997819987741685,0.9999999999999993,1.0000000000000004,1.0000000000000007,0.9999999999999996,0.9999999999999998,0.002940402644132605,0.9999871701215002,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999946976891013,0.9999955644242043,0.9999984104893013,1.0000050954154542,0.9970744692483653,1.0,0.9999999999999999,0.9999999999999997,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999997,1.0000000000000002,1.0000000000000002,0.9999999999999993,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0
circle_lowtable.obj,0.0,0.7568935587827066,0.8044363433760059,0.8551564973302238,0.8919369121948151,0.9578686215895356,0.932122113005147,0.9364366583281638,0.9674681011295989,0.9696079718792197,0.9705044028958482,0.9713494674604541,0.9721474576318812,0.982537090168301,0.9915713607805898,0.991641808957415,0.9789946010008994,0.9899199393691541,1.0066167903786434,1.0000000000000002,1.0082207695182834,1.0082889107430595,1.0083581910425852,1.0084286392194102,1.008500285055404,1.0177641652755998,1.0286303155493843,1.0294741703469743,1.0303692796692612,1.031320459462033,1.0334820493415848,1.0678609234455019,1.0728012859372216,1.07851745783622,1.0852077540740475,1.1248595905127419,1.2915524754477958,1.3208102635658308
red_arch_sofa.obj,0,0,0.0,0.1914283825088521,0.6620303062565724,0.8704275453340816,1.0492697527485,1.0071857668293478,1.0005804550891562,0.9836936029968693,0.669984531058236,1.6073038095346843,1.0594874258502798,1.094118475974959,0.8621236682423625,1.0246865179004583,1.0218251739324486,1.0044473483653118,1.010601035539122,1.0016758132248371,0.9956146562725215,0.9892089771050262,0.9918778862174181,0.9731395687684457,0.979343916051376,0.6719863703217434,1.542056545915075,0.9316121739860046,1.2916137751082868,0.9350430551460934,0.9234939987945857,0.8975495414315305,0.841431144559469,1.0700623250213694,1.4699828300114977,2.290749470011333,8.415714987821426,0
red_arch_sofa.obj,0,0.38611619869503155,0.5618836624574778,0.6979634294800775,0.8387772989535797,0.9231570724499818,0.9748242889745357,0.9029632914885213,0.8855848709129203,0.8349582561870392,0.9645674833233342,0.9849182968968753,0.9975431811574449,0.997542453513922,0.9975771845246288,0.99767474302723,0.9785946415937217,1.0678754661814993,0.9971397757622796,0.9971349561205366,0.9971483855498164,0.9970863434126155,0.9070830850470187,1.1513932820165227,1.172618809439325,1.0038413864856668,0.9008702084842385,0.9965854227426602,0.996651595262568,0.9966341696759414,0.9966839294604607,0.9966988605700089,1.0211041800197422,1.1416937744089237,1.2990482127977965,2.2392529018527636,2.817357710798988,4.710227723704034
red_arch_sofa.obj,0,0,0.0,0.13323140429877148,0.9926470018625858,1.0852316236510122,0.39190667405743174,0.5993797277536946,0.7763425482369879,0.7141389549211616,0.8398738622577073,0.9020923432579828,0.9482744848776503,0.9521197091805308,0.9590109171969828,0.9389601856438684,0.8865783723081924,0.9952440679112479,0.9940928094651286,0.9800382639338987,0.9899542220551248,0.9839413994384419,0.9778112090335883,0.9632765320459774,0.9255193020975606,0.8914288460897801,0.800266037730447,1.2816080401555061,0.9814784400484449,1.1792951204911342,1.3091665141213373,1.535052065842085,1.8151730814755938,2.601874234490768,1.5859937048912371,1.154327706274068,1.225861167159167,1.450446064718507
simple_tallchair.obj,0,0.7445366541121133,0.4754159834770224,0.4951609214892163,0.6678531146764256,0.7087814930237742,0.8225916680019149,0.9578122962037128,0.9832736821393955,0.9938415838048986,0.9999999999999998,0.9999999999999998,1.0,1.0002209024919673,0.9997791462951668,0.9999999999999999,0.9999999999999998,1.0000000000000004,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999994,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000004,0.9999999999999999,0.9999999999999999,0.9999508814770751,1.000049120935673,0.9572265778833757,1.055102880788574,1.067082081107891,1.3246585018573116,1.4777606286786464,1.684739256885935,4.405118562524812,1.0003609054849352
